k,ef_memory_Mib,ef_rank,ef_select,ss_memory_Mib,ss_rank,ss_select
6,63.1142,42.061,127.952,386.19,116.062,75.941
7,59.30,46.537,122.407,315.167,108.261,70.177
8,57.40,49.765,125.338,279.653,110.033,72.238
9,56.44,55.948,133.835,261.897,112.318,82.466
10,55.96,66.216,151.628,253.019,130.819,105.059
11,55.72,86.241,182.948,248.570,174.271,154.088
12,55.603,126.099,246.659,246.36,262.593,246.328
13,55.544,204.637,374.005,245.2505,445.181,433.752
14,55.514,204.864,627.980,244.6956,815.927,813.104
15,55.4997,204.641,1126.467,244.418,1563.143,1570.162
16,55.4922,204.948,2128.738,244.2794,3067.724,3096.532
